,Puesto,Colegio,Calendario,Evaluados,Promedio_Total,Matematica,DE_Matematica,Quimica,DE_Quimica,Fisica,DE_Fisica,Biologia,DE_Biologia,Filosofia,DE_Filosofia,Ingles,DE_Ingles,Lenguaje,DE_Lenguaje,Sociales,DE_Sociales,Municipio,Departamento,Jornada,Oficial
3512,3513,LICEO GABRIELA MISTRAL,A,98,45.3,46.6,8.5,46.5,5.5,44.4,6.7,44.8,7.1,42.0,7.8,45.0,7.2,46.8,6.3,46.1,6.6,LA VIRGINIA,RISARALDA,MAÑANA,SI
3513,3514,FRAY BARTOLOME DE IGUALADA,A,58,45.3,46.1,10.6,47.6,6.1,46.1,7.0,46.8,6.6,41.1,7.5,41.4,6.1,47.0,5.1,46.2,6.8,SIBUNDOY,PUTUMAYO,COMPLETA U ORDINARIA,SI
3514,3515,INST. ED. RURAL BUENOS AIRES,A,22,45.3,48.2,10.0,46.4,4.6,42.8,7.0,46.2,5.6,42.8,6.6,39.7,6.5,47.5,10.4,48.8,8.7,CAÑASGORDAS,ANTIOQUIA,COMPLETA U ORDINARIA,SI
3515,3516,HERMANOS BELTRAN,A,31,45.3,46.5,11.4,44.4,6.7,44.8,8.0,45.2,9.8,40.9,8.4,49.1,6.0,47.0,6.8,44.5,7.4,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
3516,3517,CENTRO FRATERNAL CRISTIANO,A,4,45.3,47.0,7.6,45.0,4.8,42.3,5.1,48.3,4.5,39.3,8.6,50.0,8.3,44.0,0.0,46.5,2.5,MEDELLIN,ANTIOQUIA,COMPLETA U ORDINARIA,NO
3517,3518,INST. ED. SAN ANTONIO DE PADUA,A,78,45.3,46.0,11.6,46.4,4.8,46.1,7.1,45.6,7.5,42.6,7.9,42.5,8.7,48.1,7.1,45.0,7.7,TAMESIS,ANTIOQUIA,COMPLETA U ORDINARIA,SI
3518,3519,ALEXANDER FLEMING,A,9,45.3,47.2,13.8,43.7,7.9,43.1,10.2,47.3,10.5,44.1,8.8,44.0,6.9,48.8,7.6,44.0,12.0,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
3519,3520,DEPARTAMENTAL INTEGRADO MARIANO SANTAMARIA,A,77,45.3,47.7,9.6,47.4,5.5,45.9,7.8,45.9,6.9,40.7,8.6,43.2,7.1,46.6,6.1,44.8,7.0,SAN ANTONIO DE TEQUENDAMA,CUNDINAMARCA,COMPLETA U ORDINARIA,SI
3520,3521,INST. ED. ROSALIA SUAREZ,A,70,45.3,46.4,10.2,44.1,4.5,43.5,8.1,46.5,7.9,41.9,8.7,44.6,10.4,48.7,6.8,46.6,7.5,MEDELLIN,ANTIOQUIA,COMPLETA U ORDINARIA,SI
3521,3522,LOS ANDES,A,5,45.3,45.2,6.5,45.2,3.4,44.6,3.9,45.8,4.5,38.8,7.8,49.6,11.9,45.8,8.8,47.2,9.9,PEREIRA,RISARALDA,MAÑANA,NO
3522,3523,INST. ED. TECNICO TUNIA,A,16,45.3,44.4,13.5,47.3,5.7,45.8,8.1,46.1,6.0,41.6,8.0,42.8,9.9,44.6,7.6,49.9,9.2,PIENDAMO,CAUCA,NOCHE,SI
3523,3524,LICEO VERSALLES,A,35,45.3,44.7,11.1,44.7,6.8,44.8,7.3,46.1,7.1,43.1,7.5,45.5,9.9,48.0,6.0,45.2,10.3,SANTA MARTA,MAGDALENA,MAÑANA,NO
3524,3525,INST. ED. GENERAL SANTANDER,A,120,45.3,46.3,9.7,47.0,5.6,45.1,6.9,46.4,7.1,41.3,7.8,44.0,6.7,47.1,5.1,44.9,8.5,SOACHA,CUNDINAMARCA,TARDE,SI
3525,3526,LICEO ANTIOQUEÑO,A,268,45.3,47.2,10.1,44.5,5.7,43.6,7.0,46.0,6.4,41.9,8.2,45.8,9.3,47.6,6.2,45.5,8.4,BELLO,ANTIOQUIA,COMPLETA U ORDINARIA,SI
3526,3527,INTEGRADO MONOPAMBA,A,19,45.3,49.5,7.8,45.4,5.3,45.2,7.7,46.1,6.2,41.6,9.0,42.2,8.7,46.3,6.7,46.0,8.1,PUERRES,NARIÑO,MAÑANA,SI
3527,3528,NUEVO HORIZONTE  - CAJICA,A,8,45.3,44.9,7.1,45.6,5.1,43.1,6.3,50.1,9.2,37.3,6.1,48.1,15.1,48.4,5.9,44.6,8.3,CAJICA,CUNDINAMARCA,MAÑANA,NO
3528,3529,INSTITUTO CALIMA,F(1),7,45.3,47.0,6.2,45.0,3.3,45.3,5.5,44.1,7.6,38.6,9.2,44.0,4.4,51.9,4.8,46.3,4.8,CALI,VALLE,MAÑANA,NO
3529,3530,DISTRITAL JUAN EVANGELISTA GOMEZ,A,19,45.3,48.7,11.4,47.7,5.2,43.8,9.5,45.7,8.1,39.4,9.4,46.1,11.0,47.3,6.9,43.5,8.7,BOGOTÁ D.C.,BOGOTA,TARDE,SI
3530,3531,INST. ED. SAN MATEO,A,290,45.3,46.7,9.9,46.9,5.8,44.0,6.7,45.6,7.1,41.6,8.7,44.3,8.0,47.4,5.6,45.6,7.9,SOACHA,CUNDINAMARCA,MAÑANA,SI
3531,3532,PRINCIPE SAN CARLOS,F(1),8,45.3,46.6,18.8,45.4,8.6,43.4,17.5,46.0,9.2,40.5,9.5,44.0,15.4,51.3,10.7,45.0,12.6,BUCARAMANGA,SANTANDER,SABATINA - DOMINICAL,NO
3532,3533,LICEO CAMPESTRE LA MESA,A,7,45.3,46.1,10.1,46.7,5.8,43.3,7.5,44.3,4.6,43.7,6.6,50.4,10.6,44.4,7.3,43.1,10.0,LA MESA,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
3533,3534,INST. ED. HOGAR NAZARETH,A,26,45.3,44.5,8.1,45.0,4.7,44.3,6.9,45.9,6.4,41.4,8.6,47.5,7.4,48.3,4.4,45.4,6.3,DOS QUEBRADAS,RISARALDA,COMPLETA U ORDINARIA,SI
3534,3535,INST. ED. DEPARTAMENTAL INST. PARCELAS,A,39,45.3,45.1,12.6,48.1,6.0,43.6,7.6,46.6,8.0,40.9,7.9,43.3,7.4,47.7,7.0,47.0,9.5,COTA,CUNDINAMARCA,COMPLETA U ORDINARIA,SI
3535,3536,JUANITA DE ARCO,A,7,45.3,48.0,8.1,48.7,6.2,44.1,6.3,42.1,7.3,44.4,5.5,38.6,4.9,49.1,4.1,47.0,7.0,VILLAVICENCIO,META,COMPLETA U ORDINARIA,NO
3536,3537,INEM CARLOS ARTURO TORRES,A,108,45.3,47.8,10.5,46.2,5.8,43.4,8.1,46.8,7.3,41.5,7.9,42.9,6.5,48.1,6.2,45.6,9.0,TUNJA,BOYACA,TARDE,SI
3537,3538,INST. DE PEDAGOGIA AUTOACTIVA DE GRUPOS IPAG,A,27,45.3,45.2,6.9,46.4,4.4,42.9,5.5,44.8,8.3,44.0,6.0,44.3,6.1,48.2,6.0,46.4,8.0,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
3538,3539,LICEO TAME,A,124,45.3,47.5,11.2,47.0,6.1,44.8,6.9,46.2,8.1,39.7,7.8,45.4,7.6,45.8,5.6,45.7,8.4,TAME,ARAUCA,COMPLETA U ORDINARIA,SI
3539,3540,PEDAGOGICO DULCE MARIA,A,163,45.3,46.4,9.6,45.6,6.2,44.4,6.9,45.4,7.0,42.6,8.5,44.8,7.6,48.0,6.5,44.8,8.0,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
3540,3541,DEPARTAMENTAL INTEGRADO ONCE DE NOVIEMBRE,A,67,45.3,46.5,8.9,47.1,5.2,45.8,6.0,45.3,7.2,42.0,8.0,43.5,8.4,46.3,6.7,45.7,8.7,LOS PATIOS,NORTE SANTANDER,MAÑANA,SI
3541,3542,INST. ED. AMERICA,A,61,45.3,46.9,10.1,47.1,6.3,44.1,6.5,45.7,8.5,41.9,8.7,43.7,7.6,47.5,5.8,45.2,9.1,MEDELLIN,ANTIOQUIA,MAÑANA,SI
3542,3543,NACIONALIZADO IGNACIO GIL SANABRIA,A,95,45.3,48.6,9.8,46.8,5.9,44.2,6.5,45.9,7.0,43.8,7.8,40.6,6.1,46.2,5.9,46.0,8.5,SIACHOQUE,BOYACA,MAÑANA,SI
3543,3544,NUESTRA SEÑORA DE LOURDES,A,79,45.3,47.1,8.4,46.1,4.5,43.0,5.7,45.8,6.4,41.1,7.7,44.0,7.5,49.6,5.9,45.5,7.2,MEDELLIN,ANTIOQUIA,MAÑANA,NO
3544,3545,BARRANQUILLA PARA SEÑORITAS,A,185,45.3,46.6,9.4,46.8,5.6,44.0,6.2,45.7,6.9,41.3,8.8,45.0,8.8,47.6,6.0,45.1,8.1,BARRANQUILLA,ATLANTICO,MAÑANA,SI
3545,3546,FRANCISCO DE MIRANDA,A,69,45.3,47.0,9.6,46.1,5.6,45.6,6.9,46.3,6.5,42.2,8.8,43.9,6.7,46.3,5.5,44.8,6.7,ROVIRA,TOLIMA,MAÑANA,SI
3546,3547,PARROQUIAL SAN PEDRO CLAVER,B,74,45.3,47.6,8.6,44.6,6.5,45.1,10.6,46.2,6.9,39.6,9.7,44.5,9.0,48.9,7.8,45.7,6.4,CALI,VALLE,MAÑANA,NO
3547,3548,INST. ED. RAFAEL NAVIA VARON,A,54,45.3,47.1,9.4,45.5,5.0,46.5,7.7,44.9,6.6,41.4,8.6,43.6,8.6,46.6,6.5,46.4,8.1,CALI,VALLE,TARDE,SI
3548,3549,INST. TECNICO SANTO TOMAS,A,79,45.3,47.8,11.4,47.7,6.5,45.1,8.1,47.1,7.9,40.5,8.5,42.6,6.6,46.7,6.7,44.5,8.8,ZAPATOCA,SANTANDER,COMPLETA U ORDINARIA,SI
3549,3550,INST. LATINOAMERICANO,A,74,45.2,46.9,8.5,45.6,5.3,44.0,7.3,44.4,6.8,43.4,6.7,44.2,7.2,48.7,6.2,44.9,8.0,MANIZALES,CALDAS,MAÑANA,SI
3550,3551,CENTRO EDUCATIVO DISTRITAL LA CHUCUA,A,55,45.2,46.9,9.2,45.8,5.7,44.4,6.2,45.6,6.7,42.8,8.5,43.4,7.0,47.2,5.6,45.9,7.0,BOGOTÁ D.C.,BOGOTA,TARDE,SI
3551,3552,JOSE ACEVEDO Y GOMEZ,A,95,45.2,47.7,11.2,45.9,6.4,44.9,6.6,46.0,7.4,41.2,8.6,43.9,8.2,47.6,5.5,44.8,9.1,MEDELLIN,ANTIOQUIA,TARDE,SI
3552,3553,DEPARTAMENTAL INTEGRADO RICARDO HINESTROSA DAZA,A,161,45.2,46.0,10.8,46.8,6.0,44.2,6.8,45.0,7.3,41.0,8.5,46.4,8.0,46.8,6.3,45.8,8.2,LA VEGA,CUNDINAMARCA,MAÑANA,SI
3553,3554,LICEO UNIVERSITARIO DEL SINU,A,22,45.2,48.8,10.4,43.0,5.1,45.0,6.8,45.1,7.6,42.5,6.9,44.2,9.5,48.4,6.8,45.0,7.4,MONTERIA,CORDOBA,COMPLETA U ORDINARIA,NO
3554,3555,INST. ED. LA MILAGROSA,A,62,45.2,45.5,10.1,47.1,5.8,44.0,6.1,46.8,6.0,40.8,7.1,44.3,7.3,48.4,5.8,45.0,7.5,POPAYAN,CAUCA,MAÑANA,SI
3555,3556,INST. ED. CELMIRA BUENO DE ORJUELA,A,101,45.2,46.9,9.4,45.6,5.4,44.3,6.6,46.4,5.8,41.3,7.4,44.4,7.7,46.8,6.0,46.1,8.2,CALI,VALLE,TARDE,SI
3556,3557,INST. ED. SAN JOSE,A,73,45.2,49.5,10.3,48.0,6.0,45.5,8.3,46.2,8.0,38.7,7.6,43.0,6.3,46.8,6.0,44.3,8.2,OPORAPA,HUILA,COMPLETA U ORDINARIA,SI
3557,3558,FRANCISCO DE PAULA SANTANDER,A,23,45.2,49.4,8.6,46.7,4.4,44.1,9.7,44.8,9.9,43.4,8.4,42.5,5.7,45.2,6.5,45.7,8.4,OSPINA,NARIÑO,COMPLETA U ORDINARIA,SI
3558,3559,INST. ED. JENARO DIAZ JORDAN,A,87,45.2,47.7,9.3,46.6,5.8,45.9,7.4,46.8,7.9,40.5,8.0,42.7,7.8,46.7,5.9,45.1,7.2,GARZON,HUILA,TARDE,SI
3559,3560,INST. TECNICO INDUSTRIAL,A,187,45.2,47.7,9.3,46.7,5.4,44.4,6.8,46.2,7.2,41.5,7.5,43.2,6.8,47.5,6.6,44.7,8.8,FACATATIVA,CUNDINAMARCA,COMPLETA U ORDINARIA,SI
3560,3561,INST. PEDAGOGICO LAURA VICUÑA,A,11,45.2,45.1,10.4,48.7,7.3,46.9,5.0,45.6,9.5,35.5,15.5,44.6,6.7,50.4,7.7,45.3,8.3,SOACHA,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
3561,3562,RAFAEL POMBO,A,10,45.2,45.2,8.5,41.9,4.2,45.7,4.5,44.0,5.3,44.0,9.9,45.3,9.2,49.5,5.2,46.3,9.9,SOACHA,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
3562,3563,INST. ED. BAJO CAÑADA,A,10,45.2,48.1,13.5,47.2,7.5,45.4,3.9,46.1,6.9,41.1,6.7,41.2,8.8,46.9,5.9,45.9,9.5,LA PLATA,HUILA,COMPLETA U ORDINARIA,SI
3563,3564,INST. ED. PEDRO LEON TORRES,A,79,45.2,46.7,12.4,47.3,6.3,44.6,7.3,45.5,7.2,43.4,8.6,40.7,6.2,45.8,7.4,47.7,8.2,YACUANQUER,NARIÑO,MAÑANA,SI
3564,3565,INST. ED. CENTRO EDUCATIVO DISTRITAL CAFAM BELLAVISTA,A,96,45.2,45.3,9.2,46.1,5.2,43.6,6.7,45.0,7.9,43.1,7.9,43.7,7.9,48.6,5.8,46.5,7.4,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,SI
3565,3566,DISTRITAL LUIS VARGAS TEJADA,A,34,45.2,48.0,8.7,46.6,5.9,43.8,8.2,45.4,6.0,40.0,6.4,45.1,6.4,48.5,6.1,44.6,5.2,BOGOTÁ D.C.,BOGOTA,TARDE,SI
3566,3567,DE BACHILLERATO ALFONSO LOPEZ PUMAREJO,A,158,45.2,45.4,10.7,47.1,6.6,45.6,8.2,45.8,8.6,41.4,7.7,44.2,8.9,46.5,6.4,45.9,8.5,VALLEDUPAR,CESAR,MAÑANA,SI
3567,3568,SAN VICENTE FERRER,A,43,45.2,45.9,10.7,45.7,6.0,45.7,7.2,45.9,6.9,40.0,9.1,45.5,8.9,47.3,5.3,45.9,8.2,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
3568,3569,OFICIAL LORENCITA VILLEGAS DE SANTOS,A,148,45.2,45.6,9.4,46.5,5.7,45.1,6.7,45.3,7.5,42.7,7.4,44.1,8.3,47.6,6.5,45.1,7.9,SANTA ROSA DE CABAL,RISARALDA,MAÑANA,SI
3569,3570,INST. ED. FIDEL DE MONTCLAR,A,24,45.2,44.5,9.2,48.9,4.3,45.3,7.6,47.0,6.9,41.1,6.5,43.6,6.9,46.6,6.3,44.8,6.7,MOCOA,PUTUMAYO,MAÑANA,SI
3570,3571,INST. ED. DEPARTAMENTAL BATEAS,A,6,45.2,46.5,13.1,47.0,4.7,41.7,6.0,46.8,5.0,37.5,10.2,46.2,4.8,46.2,8.1,50.0,4.4,TIBACUY,CUNDINAMARCA,MAÑANA,SI
3571,3572,ACADEMIA GENERAL JOSE ANTONIO ANZOATEGUI,A,28,45.2,48.7,10.2,46.4,6.9,45.8,6.0,46.2,8.3,37.3,8.2,45.1,6.5,46.8,6.6,45.6,9.3,NEIVA,HUILA,MAÑANA,NO
3572,3573,LICEO MODERNO ISAAC NEWTON,A,37,45.2,46.4,9.3,46.3,4.8,46.0,6.6,44.6,6.4,40.8,8.0,45.1,6.4,46.8,5.9,45.9,6.8,MADRID,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
3573,3574,INST. ED. MUNICIPAL INEM LUIS DELFIN INSUASTY RODRIGUEZ,A,283,45.2,46.1,11.3,46.8,5.6,44.6,7.1,45.0,6.5,42.0,7.9,44.3,6.7,46.2,6.4,46.8,6.9,PASTO,NARIÑO,COMPLETA U ORDINARIA,SI
3574,3575,INST. ED. TECNICA MARIA AUXILIADORA,A,54,45.2,45.8,8.4,44.9,5.6,42.4,7.3,46.1,6.2,43.5,7.0,46.4,6.4,47.9,6.1,44.9,6.8,FRESNO,TOLIMA,COMPLETA U ORDINARIA,SI
3575,3576,NACIONAL UNIVERSITARIO,A,22,45.2,48.8,8.2,46.6,4.6,46.2,5.9,47.1,7.0,40.0,7.9,40.9,5.8,47.9,3.9,44.5,8.3,VELEZ,SANTANDER,TARDE,SI
3576,3577,JUAN BAUTISTA LA SALLE,A,33,45.2,49.1,8.6,48.5,5.1,47.3,6.7,44.8,7.6,40.0,9.2,40.8,7.6,46.5,5.0,44.8,7.0,FLORENCIA,CAQUETA,TARDE,SI
3577,3578,INSTITUTO ACADEMICO DE BOSA,A,37,45.2,47.1,7.3,46.6,4.9,45.3,6.5,44.1,8.2,40.5,7.9,44.3,7.7,47.9,5.5,46.0,8.4,BOGOTÁ D.C.,BOGOTA,TARDE,NO
3578,3579,FRANCISCO JOSE DE CALDAS CALICANTO,A,9,45.2,43.7,8.4,47.4,4.1,44.7,5.6,45.6,7.7,44.7,6.3,43.1,6.5,47.3,3.6,45.3,9.5,POPAYAN,CAUCA,MAÑANA,SI
3579,3580,SAGRADO CORAZON DE JESUS,A,26,45.2,43.3,11.0,47.7,6.0,42.7,9.0,46.9,6.6,42.6,7.8,44.5,6.0,47.4,5.9,46.8,6.8,SANDONA,NARIÑO,MAÑANA,SI
3580,3581,OFICIAL MIXTO JOHN F. KENNEDY,A,16,45.2,46.1,13.1,46.3,5.4,47.4,6.4,48.4,8.6,41.3,8.8,41.0,5.4,46.3,6.4,45.1,4.7,PENSILVANIA,CALDAS,MAÑANA,SI
3581,3582,LICEO MAXIMO MERCADO,A,60,45.2,45.2,7.0,45.4,5.2,45.6,6.0,45.9,6.4,43.5,8.2,44.5,10.4,47.7,6.1,44.1,7.3,MONTERIA,CORDOBA,MAÑANA,NO
3582,3583,INST. ED. TOMAS CADAVID,A,119,45.2,45.6,8.3,44.3,5.2,43.4,7.1,45.3,6.4,42.8,8.4,46.0,9.2,48.1,5.2,46.3,8.2,BELLO,ANTIOQUIA,NOCHE,SI
3583,3584,CENTRO EDUCATIVO DISTRITAL LA CONCEPCION,A,18,45.2,44.3,8.9,46.9,5.0,42.7,8.4,45.8,7.1,40.7,7.8,46.7,14.7,49.4,4.9,45.2,8.3,BARRANQUILLA,ATLANTICO,MAÑANA,SI
3584,3585,GIMNASIO REAL AMERICANO,A,41,45.2,45.1,12.8,46.7,4.2,44.2,7.0,44.5,7.5,41.8,8.3,46.5,7.5,47.0,5.7,46.0,6.4,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
3585,3586,PARA ADULTOS EDUCAR,F(2),12,45.2,46.6,10.7,46.4,4.2,44.0,8.7,47.4,5.6,44.2,4.4,41.1,4.9,46.9,7.2,45.2,4.0,IPIALES,NARIÑO,COMPLETA U ORDINARIA,NO
3586,3587,INST. ED. DISTRITAL  COSTA RICA,A,69,45.2,45.7,11.3,46.1,5.1,44.0,7.0,46.1,7.5,42.6,7.7,44.5,8.5,46.6,5.4,46.1,7.3,BOGOTÁ D.C.,BOGOTA,TARDE,SI
3587,3588,INST. ED. DISTRITAL ANTONIO BARAYA,A,24,45.2,45.3,8.1,47.3,5.7,45.5,6.1,45.7,6.8,41.2,6.6,45.3,5.5,47.2,5.3,44.4,6.0,BOGOTÁ D.C.,BOGOTA,TARDE,SI
3588,3589,DEPARTAMENTAL GILBERTO ALZATE AVENDAÑO,A,32,45.2,46.9,12.8,44.3,5.1,44.0,6.8,45.5,7.8,42.3,9.4,42.4,11.7,49.1,7.9,47.2,8.1,VILLAVICENCIO,META,MAÑANA,SI
3589,3590,INST. ED. LUIS EDGAR DURAN RAMIREZ,A,66,45.2,50.4,14.6,47.7,6.3,45.6,8.2,46.1,7.8,40.3,7.5,41.8,8.2,45.9,6.7,44.1,8.4,PAICOL,HUILA,COMPLETA U ORDINARIA,SI
3590,3591,ESCUELA NORMAL DEPARTAMENTAL LACIDES  IRIARTE,A,261,45.2,47.8,9.7,47.0,5.9,42.9,7.3,46.9,7.6,42.3,7.6,40.6,6.4,47.4,6.1,47.0,8.7,SAHAGUN,CORDOBA,COMPLETA U ORDINARIA,SI
3591,3592,LICEO DEL CARIBE,A,42,45.2,47.2,9.8,46.7,6.9,44.5,6.2,46.9,5.6,39.2,8.4,46.8,10.7,46.4,6.7,44.0,9.8,SANTA MARTA,MAGDALENA,COMPLETA U ORDINARIA,NO
3592,3593,DEPARTAMENTAL SIMON BOLIVAR,A,39,45.2,46.2,7.8,47.8,5.9,46.1,6.9,47.0,6.2,41.6,8.8,41.8,4.4,45.7,6.2,45.6,7.6,SAN PELAYO,CORDOBA,MAÑANA,SI
3593,3594,CONCENTRACION EDUCATIVA NUESTRA SEÑORA DE FATIMA,A,59,45.2,45.8,8.5,49.0,5.7,44.3,6.7,45.4,7.4,40.7,8.9,44.6,6.5,46.9,5.9,45.1,8.2,MAGANGUE,BOLIVAR,MAÑANA,SI
3594,3595,CENTRO DISTRITAL LUZ DEL CARIBE,A,38,45.2,46.8,10.9,47.8,5.3,44.7,6.1,44.8,8.0,40.7,8.0,43.3,6.7,48.0,6.7,45.6,8.7,BARRANQUILLA,ATLANTICO,COMPLETA U ORDINARIA,SI
3595,3596,INST. PSICOPEDAGOGICO INTEGRAL IPSI,A,23,45.2,47.2,10.4,46.0,11.0,43.4,12.4,45.4,11.7,42.8,10.7,45.2,4.9,47.6,11.2,44.1,12.9,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
3596,3597,INST. POLITECNICO NACIONAL FEMENINO,A,40,45.2,42.1,11.7,45.6,6.1,44.2,6.6,46.2,6.0,43.0,6.2,46.9,9.2,48.6,6.7,45.3,8.4,BOGOTÁ D.C.,BOGOTA,TARDE,SI
3597,3598,LUIS HERNANDO TURBAY TURBAY,A,7,45.2,46.0,5.5,46.7,3.2,47.0,6.0,46.9,7.5,38.0,13.0,44.3,3.1,46.6,5.4,46.3,8.0,PUERTO RICO,CAQUETA,MAÑANA,SI
3598,3599,INST. ED. DISTRITAL PAULO VI,A,54,45.2,46.2,9.3,45.4,5.5,45.5,6.4,45.4,7.6,42.8,7.1,42.7,5.7,46.8,5.9,46.9,8.4,BOGOTÁ D.C.,BOGOTA,TARDE,SI
3599,3600,DEPARTAMENTAL HECTOR JULIO GOMEZ,A,34,45.2,47.7,10.1,44.5,6.4,45.5,6.4,47.3,7.1,42.7,8.5,44.4,7.2,45.6,6.3,44.0,8.4,SUTAMARCHAN,BOYACA,COMPLETA U ORDINARIA,SI
3600,3601,SIMON BOLIVAR DE SORACA,A,60,45.2,47.2,7.4,47.7,5.0,44.8,7.7,46.1,6.2,41.9,7.1,41.7,5.5,46.5,5.3,46.0,7.3,SORACA,BOYACA,COMPLETA U ORDINARIA,SI
3601,3602,INST. ED. DEPARTAMENTAL BAJO PALMAR,A,10,45.2,48.6,8.6,46.7,6.9,44.9,3.7,46.1,6.0,40.1,6.8,42.8,3.5,47.2,5.9,45.3,7.8,VIOTA,CUNDINAMARCA,MAÑANA,SI
3602,3603,INST. ED. DIEGO ECHAVARRIA MISAS,A,213,45.2,46.4,11.4,45.3,5.9,43.8,7.2,46.5,7.2,41.6,8.5,45.1,10.2,47.7,7.2,45.4,8.1,MEDELLIN,ANTIOQUIA,TARDE,SI
3603,3604,INST. ED. DELICIAS SAN CARLOS,A,48,45.2,45.6,8.6,47.9,5.2,45.0,6.7,47.0,7.1,43.4,7.2,40.3,4.0,46.7,5.6,45.9,7.7,EL COPEY,CESAR,COMPLETA U ORDINARIA,SI
3604,3605,MUNICIPAL GREMIOS UNIDOS,A,117,45.2,47.3,10.0,45.6,5.8,44.9,7.2,45.3,8.2,41.3,9.3,45.4,8.6,46.5,7.0,45.3,7.8,CUCUTA,NORTE SANTANDER,COMPLETA U ORDINARIA,SI
3605,3606,INST. ED. LA PAZ,A,8,45.2,41.9,19.9,48.0,6.9,48.3,10.2,48.6,10.7,43.5,8.2,41.0,6.1,47.0,7.0,43.4,9.4,LOS ANDES (SOTOMAYOR),NARIÑO,COMPLETA U ORDINARIA,SI
3606,3607,INST. ED. COL. TECNICO FRANCISCO DE PAULA SANTANDER,A,53,45.2,47.1,10.6,46.2,5.8,44.3,6.3,45.9,6.4,42.2,6.2,42.4,8.1,47.5,5.5,46.1,7.9,VILLAVICENCIO,META,MAÑANA,SI
3607,3608,LA PRESENTACION EL PARAISO,B,81,45.2,44.9,7.8,46.4,6.8,45.0,9.6,44.2,6.4,40.8,9.7,43.8,9.0,51.2,6.8,45.5,6.1,CALI,VALLE,COMPLETA U ORDINARIA,NO
3608,3609,INST. TECNICO INDUSTRIAL DONALD RODRIGO TAFUR GONZALEZ,A,70,45.2,47.2,11.1,46.7,5.0,45.7,6.8,45.9,7.1,39.6,10.2,43.0,7.8,47.7,6.2,45.8,9.8,CALI,VALLE,MAÑANA,SI
3609,3610,INST. ED.  SAN JOSE DEL CITARA,A,63,45.2,45.8,10.8,46.3,4.5,43.9,8.0,45.8,6.2,41.6,7.0,44.3,5.6,47.2,5.0,46.7,6.7,BOLIVAR,ANTIOQUIA,COMPLETA U ORDINARIA,SI
3610,3611,INST. ED. DISTRITAL MANUEL DEL SOCORRO RODRIGUEZ,A,52,45.2,47.3,9.5,47.3,5.2,43.5,7.5,46.6,7.6,42.2,8.1,43.1,8.4,47.1,5.9,44.5,8.0,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,SI
3611,3612,LEON MAGNO LTDA,A,25,45.2,45.5,11.8,46.5,5.2,44.4,6.6,46.1,5.4,40.4,6.8,46.5,7.4,46.0,4.9,46.3,6.2,SOACHA,CUNDINAMARCA,MAÑANA,NO
3612,3613,INST. TECNICO INDUSTRIAL NACIONALIZADO ANTONIO RICAURTE,A,78,45.2,45.8,11.0,45.7,5.1,45.4,8.2,47.0,6.5,42.2,7.9,44.2,9.0,46.0,6.8,45.3,6.8,VILLA DE LEYVA,BOYACA,COMPLETA U ORDINARIA,SI
3613,3614,INST. ED. CUNCHILA,A,5,45.2,49.8,12.0,47.0,5.5,45.2,4.0,46.0,4.9,39.4,5.6,45.0,2.8,43.0,2.2,46.2,3.8,OSPINA,NARIÑO,MAÑANA,SI
3614,3615,DIVINO MAESTRO I.E.D.,A,102,45.2,47.6,11.9,45.3,5.7,44.3,6.6,46.1,7.1,41.0,8.6,44.2,9.2,47.7,6.7,45.4,8.2,BOGOTÁ D.C.,BOGOTA,TARDE,SI
3615,3616,LICEO MAYOR TECNICO DEL VALLE,B,9,45.2,41.6,13.7,44.9,4.1,45.6,7.1,47.7,3.1,41.4,4.0,44.3,8.2,50.7,7.1,45.4,9.0,CALI,VALLE,TARDE,NO
3616,3617,INST. TECNICO COMERCIAL DEL NORTE,A,25,45.2,44.7,10.4,46.9,5.7,43.6,5.9,46.4,7.7,40.5,7.3,43.5,8.2,48.0,6.5,48.0,9.4,CALI,VALLE,MAÑANA,NO
3617,3618,CENTRO EDUCATIVO DISTRITAL PABLO DE TARSO,A,96,45.2,45.1,10.1,46.3,5.3,43.5,6.5,45.0,7.9,42.5,6.9,46.7,9.3,47.3,6.0,45.2,7.7,BOGOTÁ D.C.,BOGOTA,MAÑANA,SI
3618,3619,DISTRITAL CHARRY,A,54,45.2,43.5,9.8,45.5,5.9,44.1,7.2,47.9,10.1,39.9,8.2,46.6,11.3,47.5,7.5,46.7,7.7,BOGOTÁ D.C.,BOGOTA,TARDE,SI
