codinst,nombre,cod_municipio,municipio,departamento,calendario,naturaleza,jornada,matematica,quimica,fisica,biologia,filosofia,ingles,lenguaje,sociales,de_matematica,de_quimica,de_fisica,de_biologia,de_filosofia,de_ingles,de_lenguaje,de_sociales,evaluados,periodo
064758,COLEGIO DEPARTAMENTAL DE BACHILLERATO MIGUEL PINEDO BARROS,47001,SANTA MARTA,MAGDALENA,A,OFICIAL,NOCHE,39.38,36.14,37.71,39.10,34.90,34.76,39.81,37.43,7.59,4.75,7.84,4.21,6.17,5.94,5.86,6.45,21,20132
064808,UNIDAD EDUCATIVA SAN ISIDRO DE VERACRUZ,50226,CUMARAL,META,A,OFICIAL,COMPLETA U ORDINARIA,41.75,46.25,41.67,45.17,35.00,43.17,48.42,44.08,8.37,7.15,7.32,4.20,7.84,4.30,7.29,10.17,12,20132
064832,COLEGIO CERVANTES SAAVEDRA,50001,VILLAVICENCIO,META,A,NO OFICIAL,NOCHE,37.00,37.00,35.80,41.80,41.00,40.00,40.20,36.40,6.24,5.34,2.17,4.87,5.79,6.16,4.82,3.21,5,20132
064840,COLEGIO DEPARTAMENTAL AGROPECUARIO SIMON BOLIVAR,50245,EL CALVARIO,META,A,OFICIAL,MAÑANA,43.50,45.50,47.60,44.70,38.10,39.80,47.00,45.20,8.92,3.60,8.55,6.75,12.23,3.65,6.94,9.48,10,20132
064857,UNIDAD EDUCATIVA TECNICO AGROPECUARIO DE PUERTO LOPEZ,50573,PUERTO LOPEZ,META,A,OFICIAL,MAÑANA,44.78,45.30,47.67,44.15,38.44,40.93,46.04,44.11,7.92,6.26,7.78,8.51,7.37,5.53,7.56,7.68,27,20132
064873,COLEGIO INTEGRADO JUAN ATALAYA,54001,CUCUTA,NORTE SANTANDER,A,OFICIAL,TARDE,45.66,46.09,43.63,44.88,37.60,42.07,46.76,42.28,8.08,7.30,10.03,7.22,9.01,5.91,5.90,7.73,68,20132
064881,LICEO PRESBITERO JESUS ANTONIO SERNA,66594,QUINCHIA,RISARALDA,A,OFICIAL,MAÑANA,41.39,43.83,40.94,42.89,36.50,39.33,43.89,42.11,6.36,6.38,8.31,8.42,9.15,4.59,4.98,7.51,18,20132
064907,COLEGIO ACADEMICO EBENEZER,54001,CUCUTA,NORTE SANTANDER,A,NO OFICIAL,MAÑANA,46.30,47.94,45.74,48.84,42.74,49.76,50.78,46.60,10.11,8.06,9.97,6.51,9.64,13.46,6.62,7.27,50,20132
064915,INSTITUCION EDUCATIVA COLEGIO NUESTRA SEÑORA DE BELEN,54001,CUCUTA,NORTE SANTANDER,A,OFICIAL,MAÑANA,45.35,44.00,45.52,46.02,38.68,41.31,46.91,44.35,7.48,6.37,9.05,6.97,7.58,5.30,5.58,6.57,94,20132
064923,INSTITUCION EDUCATIVA COLEGIO ALEJANDRO GUTIERREZ CALDERON,54001,CUCUTA,NORTE SANTANDER,A,OFICIAL,COMPLETA U ORDINARIA,46.48,46.06,44.35,44.40,36.85,42.98,46.29,42.06,9.52,8.46,9.16,7.32,10.34,6.16,6.57,5.91,48,20132
064956,COLEGIO SAN PEDRO CLAVER,54001,CUCUTA,NORTE SANTANDER,A,NO OFICIAL,COMPLETA U ORDINARIA,42.00,40.71,41.04,40.25,35.33,40.67,42.88,39.83,7.41,6.45,8.20,6.49,8.57,6.57,5.08,5.45,24,20132
064964,COLEGIO PRIMERO DE MAYO,54001,CUCUTA,NORTE SANTANDER,A,NO OFICIAL,TARDE,47.56,49.50,47.13,49.31,37.69,43.44,47.25,43.06,8.10,6.84,10.97,5.86,8.05,9.42,7.95,8.64,16,20132
064980,CONCENTRACION DE DESARROLLO RURAL LA GABARRA,54810,TIBU,NORTE SANTANDER,A,OFICIAL,COMPLETA U ORDINARIA,44.58,44.42,46.32,44.79,36.53,38.74,44.68,42.58,8.28,5.89,7.25,7.83,7.37,4.54,9.25,7.84,19,20132
064998,COLEGIO MUNICIPAL DE BACHILLERATO COMERCIAL LUIS CARLOS GALAN SARMIENTO,54001,CUCUTA,NORTE SANTANDER,A,OFICIAL,TARDE,43.71,44.83,45.19,42.50,42.71,42.02,46.50,44.21,11.24,8.84,11.50,9.97,12.14,8.47,7.79,8.10,42,20132
065003,COLEGIO NUESTRA SEÑORA DEL MILAGRO,54001,CUCUTA,NORTE SANTANDER,A,NO OFICIAL,MAÑANA,45.95,47.80,48.40,45.55,43.60,47.20,47.00,48.50,9.08,9.99,10.31,6.53,7.16,5.30,9.71,7.77,20,20132
065037,COLEGIO DEPARTAMENTAL INTEGRADO GENERAL SANTANDER,54874,VILLA DEL ROSARIO,NORTE SANTANDER,A,OFICIAL,TARDE,47.40,46.34,42.90,46.69,39.32,43.13,47.08,44.30,8.87,8.21,9.47,7.29,8.89,9.19,5.88,6.01,87,20132
065045,COLEGIO BYRON GAVIRIA,66001,PEREIRA,RISARALDA,A,OFICIAL,NOCHE,38.60,39.30,37.75,38.80,37.55,38.25,40.90,38.75,5.79,5.15,9.46,7.28,6.43,4.44,5.71,5.34,20,20132
065052,INSTITUCION EDUCATIVA AGUSTIN NIETO CABALLERO,66170,DOS QUEBRADAS,RISARALDA,A,OFICIAL,MAÑANA,46.00,46.59,49.00,47.24,39.24,47.12,48.02,44.39,10.48,8.14,10.78,7.47,6.62,7.23,5.58,6.83,41,20132
065078,INSTITUTO HERNANDO VELEZ MARULANDA,66001,PEREIRA,RISARALDA,A,OFICIAL,MAÑANA,42.24,46.53,43.44,44.12,39.53,42.15,48.41,45.12,9.28,6.63,11.24,7.37,5.83,5.22,6.17,7.41,34,20132
065086,INSTITUTO METROPOLITANO DE EDUCACION IME,66001,PEREIRA,RISARALDA,F,NO OFICIAL,MAÑANA,38.00,40.47,35.80,41.33,36.53,39.20,46.20,38.47,5.24,6.79,5.31,6.81,3.81,5.36,5.17,6.92,15,20132
065086,INSTITUTO METROPOLITANO DE EDUCACION IME,66001,PEREIRA,RISARALDA,F,NO OFICIAL,MAÑANA,41.20,44.00,42.80,45.20,38.80,49.40,48.60,44.40,15.80,2.45,4.27,6.91,5.45,17.23,6.23,4.88,5,20131
065110,COLEGIO EMPRESARIAL DOSQUEBRADAS,66170,DOS QUEBRADAS,RISARALDA,A,OFICIAL,TARDE,45.76,44.86,46.35,46.22,39.22,42.30,47.05,44.86,8.16,6.57,7.60,5.94,5.88,4.24,6.90,6.05,37,20132
065136,COLEGIO SURORIENTAL DE PEREIRA,66001,PEREIRA,RISARALDA,A,OFICIAL,TARDE,42.75,43.14,42.77,43.99,40.78,42.88,48.45,44.10,8.70,6.05,8.62,6.61,7.87,7.86,7.22,6.43,69,20132
065144,ASPAEN GIMNASIO SAUCARA,68547,PIEDECUESTA,SANTANDER,A,NO OFICIAL,COMPLETA U ORDINARIA,66.59,59.65,61.76,57.41,51.65,76.06,56.94,61.53,11.77,8.79,8.91,7.31,12.84,14.42,6.73,11.65,17,20132
065151,INSTITUTO TECNICO DE SABANA DE TORRES I.T.E.S.,68655,SABANA DE TORRES,SANTANDER,A,OFICIAL,MAÑANA,44.03,45.55,45.87,44.83,40.13,40.60,47.78,44.58,9.77,8.10,10.39,8.87,9.05,6.00,8.12,9.19,60,20132
065169,COLEGIO INTEGRADO AGROPECUARIO SANTA RITA DEL OPON,68245,EL GUACAMAYO,SANTANDER,A,OFICIAL,COMPLETA U ORDINARIA,45.63,47.88,48.50,47.00,42.75,48.50,45.13,49.13,6.25,7.28,12.71,7.46,7.61,3.46,6.85,3.00,8,20132
065177,ASPAEN GIMNASIO CANTILLANA,68547,PIEDECUESTA,SANTANDER,A,NO OFICIAL,COMPLETA U ORDINARIA,66.92,62.42,60.00,59.04,58.19,86.12,60.85,60.31,13.91,10.82,11.53,9.59,9.13,11.24,5.42,10.06,26,20132
065185,COLEGIO AGROPECUARIO GRAN MARISCAL DE AYACUCHO,68773,SUCRE,SANTANDER,A,OFICIAL,MAÑANA,45.75,48.63,48.13,50.00,46.13,50.13,51.38,52.88,6.80,11.43,8.32,11.34,6.10,7.38,6.91,11.06,8,20132
065201,COLEGIO DIVINO NIÑO JESUS,68081,BARRANCABERMEJA,SANTANDER,A,NO OFICIAL,COMPLETA U ORDINARIA,47.17,44.33,40.83,39.33,37.50,41.67,49.00,42.83,9.11,11.41,13.56,7.92,8.53,2.80,12.23,15.37,6,20132
065219,COLEGIO JUAN CRISTOBAL MARTINEZ,68307,GIRON,SANTANDER,A,OFICIAL,MAÑANA,48.99,51.16,49.56,47.57,41.79,45.00,50.33,47.17,9.57,7.47,10.06,7.27,8.37,9.33,6.77,7.33,107,20132
065227,COLEGIO JUAN CRISTOBAL MARTINEZ,68307,GIRON,SANTANDER,A,OFICIAL,TARDE,48.70,46.93,47.28,46.99,40.64,46.32,49.07,45.46,8.49,8.02,10.72,6.83,10.02,7.77,6.23,6.74,106,20132
065235,COLEGIO JUAN CRISTOBAL MARTINEZ,68307,GIRON,SANTANDER,A,OFICIAL,NOCHE,41.33,42.36,39.92,41.97,37.02,40.11,44.93,40.10,7.85,6.51,9.67,7.98,9.62,5.29,5.85,8.01,61,20132
065250,COLEGIO SAN LUIS GONZAGA,68235,EL CARMEN,SANTANDER,A,OFICIAL,COMPLETA U ORDINARIA,45.85,47.52,46.44,47.27,41.25,45.73,49.13,47.19,9.79,8.18,9.30,6.99,8.54,9.68,6.63,9.50,52,20132
065268,COLEGIO INTEGRADO SAN ANTONIO,68132,CALIFORNIA,SANTANDER,A,OFICIAL,MAÑANA,42.13,47.67,45.87,46.67,40.73,43.33,47.07,45.20,8.70,5.00,7.54,6.16,3.95,4.70,7.70,4.13,15,20132
065284,INSTITUTO NACIONAL DE COMERCIO,68001,BUCARAMANGA,SANTANDER,A,OFICIAL,NOCHE,42.71,42.90,42.73,44.64,36.97,44.27,45.66,42.59,11.09,7.70,9.20,7.47,8.76,6.96,6.10,6.57,70,20132
065292,COLEGIO INTEGRADO NUESTRA SEÑORA DE LAS MERCEDES,68406,LEBRIJA,SANTANDER,A,OFICIAL,TARDE,49.64,48.69,48.72,46.72,41.59,43.66,49.18,45.81,10.29,7.60,8.56,8.26,8.30,6.32,6.79,7.27,116,20132
065300,INSTITUCION EDUCATIVA TECNICA ALBERTO CASTILLA,73001,IBAGUE,TOLIMA,A,OFICIAL,MAÑANA,44.81,47.88,49.66,46.42,42.81,43.57,49.46,47.10,9.22,8.25,10.50,7.85,8.91,6.23,5.93,6.94,67,20132
065326,INSTITUTO DOCENTE JOSE CELESTINO MUTIS,73563,PRADO,TOLIMA,A,OFICIAL,MAÑANA,43.05,43.10,41.75,46.65,36.85,38.80,45.10,41.95,6.91,4.85,7.22,5.12,5.64,5.56,6.54,5.92,20,20132
065342,COLEGIO OFICIAL LA FLORIDA,73624,ROVIRA,TOLIMA,A,OFICIAL,MAÑANA,40.78,43.26,45.11,43.00,38.70,38.15,45.15,41.78,8.19,5.94,6.57,6.93,6.30,6.02,6.28,4.89,27,20132
065367,LICEO IBAGUE,73001,IBAGUE,TOLIMA,A,NO OFICIAL,MAÑANA,43.15,43.00,48.50,48.35,37.20,43.20,47.55,46.80,9.95,7.89,13.62,6.96,10.77,5.90,7.92,8.21,20,20132
065375,COLEGIO OFICIAL DE SANTA TERESA,73411,LIBANO,TOLIMA,A,OFICIAL,MAÑANA,43.58,44.16,45.84,45.16,41.47,42.05,44.00,43.00,6.81,5.15,8.64,4.40,7.43,4.50,5.62,4.58,19,20132
065383,COLEGIO TECNICO CARLOS J. HUELGOS,73001,IBAGUE,TOLIMA,A,NO OFICIAL,MAÑANA,45.84,48.21,43.58,44.42,41.26,47.84,48.47,43.89,6.75,5.85,11.05,5.31,6.75,7.28,7.32,5.26,19,20132
065409,INSTITUTO EUTIQUIO LEAL,73168,CHAPARRAL,TOLIMA,A,NO OFICIAL,MAÑANA,39.75,40.50,40.50,41.25,29.25,31.25,43.75,38.50,7.63,7.19,14.53,3.69,7.72,9.54,5.06,3.70,4,20132
065417,COLEGIO DEPARTAMENTAL SANTIAGO PEREZ,73067,ATACO,TOLIMA,A,OFICIAL,MAÑANA,43.00,42.13,41.40,41.60,35.93,41.33,45.87,41.43,6.25,6.60,8.82,5.80,8.09,6.28,4.77,6.22,30,20132
065433,CENTRO EDUCATIVO TECNICO INTEGRAL CETI,76364,JAMUNDI,VALLE,A,NO OFICIAL,MAÑANA,41.71,45.76,46.47,47.29,43.47,48.71,47.76,46.76,10.65,10.62,12.84,6.45,10.68,13.29,7.92,10.21,17,20132
065474,COLEGIO JOSE ACEVEDO Y GOMEZ,81065,ARAUQUITA,ARAUCA,A,OFICIAL,MAÑANA,44.65,46.39,43.04,44.83,37.17,40.52,45.22,46.09,9.76,6.29,8.24,7.57,8.53,4.23,6.54,7.43,23,20132
065482,INSTITUTO INDIGENA SAN JUAN BOSCO,91001,LETICIA,AMAZONAS,A,OFICIAL,COMPLETA U ORDINARIA,39.94,41.39,42.31,39.86,36.08,40.50,44.86,42.14,6.89,5.54,7.70,8.03,6.62,3.83,3.77,6.68,36,20132
065490,COLEGIO FEMENINO INDIGENA MARIA AUXILIADORA,91001,LETICIA,AMAZONAS,A,OFICIAL,COMPLETA U ORDINARIA,35.40,41.60,41.60,41.80,35.40,40.53,41.27,39.53,8.57,6.22,8.30,6.11,8.36,3.20,6.37,3.91,15,20132
065508,INSTITUTO EDUCATIVO TECNICO DIVERSIFICADO,85162,MONTERREY,CASANARE,A,OFICIAL,COMPLETA U ORDINARIA,43.66,44.37,46.02,43.95,38.83,43.68,47.34,42.98,8.45,6.44,9.30,7.17,7.61,7.25,6.52,7.03,117,20132
065516,INSTITUTO TECNICO INTEGRADO DE TRINIDAD,85430,TRINIDAD,CASANARE,A,OFICIAL,NOCHE,43.74,41.95,42.95,42.58,35.47,41.42,45.37,43.32,6.26,6.08,7.76,5.66,7.65,4.48,7.28,5.78,19,20132
065524,INSTITUTO FERRINI,11001,BOGOTÁ D.C.,BOGOTÁ,F,NO OFICIAL,TARDE,45.78,44.61,45.27,46.22,40.31,48.09,47.86,45.44,9.56,7.44,9.21,7.02,7.13,11.95,6.46,7.39,101,20132
065524,INSTITUTO FERRINI,11001,BOGOTÁ D.C.,BOGOTÁ,F,NO OFICIAL,TARDE,44.35,43.32,40.62,44.99,38.07,47.77,47.86,44.97,10.29,6.46,7.71,5.75,8.57,12.21,7.76,5.65,69,20131
065532,INSTITUCION EDUCATIVA DE SAN PABLO,13442,MARIA LA BAJA,BOLÍVAR,A,OFICIAL,MAÑANA,38.02,40.84,43.55,41.48,34.50,41.00,41.75,38.73,7.74,6.02,8.71,5.55,8.02,4.01,5.36,8.92,44,20132
065540,INSTITUCION EDUCATIVA DE SANTA ROSA,13650,SAN FERNANDO,BOLÍVAR,A,OFICIAL,MAÑANA,39.81,41.15,40.67,41.30,36.96,39.11,43.30,40.04,6.38,5.21,8.63,6.57,4.70,6.53,6.09,5.39,27,20132
065565,COLEGIO LAS LAJAS,18610,SAN JOSE DEL FRAGUA,CAQUETÁ,A,OFICIAL,COMPLETA U ORDINARIA,33.88,39.65,38.24,43.59,34.00,39.06,41.41,40.71,10.64,7.76,8.35,5.03,6.89,4.42,3.12,5.03,17,20132
065573,INSTITUCION EDUCATIVA CAMPO ELIAS MARULANDA,18756,SOLANO,CAQUETÁ,A,OFICIAL,MAÑANA,37.68,38.55,36.89,39.11,31.66,37.55,42.32,40.79,6.80,5.90,7.84,7.87,9.02,5.89,4.74,5.33,38,20132
065581,INSTITUCION EDUCATIVA GERMAN GOMEZ PELAEZ,23580,PUERTO LIBERTADOR,CÓRDOBA,A,OFICIAL,MAÑANA,43.03,41.53,44.11,42.41,40.70,40.19,46.29,44.29,8.42,6.04,9.74,6.50,9.32,5.31,6.14,6.06,100,20132
065599,COLEGIO FRANCISCO DE PAULA SANTANDER,68001,BUCARAMANGA,SANTANDER,A,OFICIAL,MAÑANA,47.69,46.89,47.07,44.10,38.78,42.40,46.75,43.38,11.44,10.32,10.18,7.65,7.05,6.48,6.50,7.04,72,20132
065607,COLEGIO DEPARTAMENTAL DE BACHILLERATO LUIS PATRON ROSANO,70820,TOLU,SUCRE,A,OFICIAL,NOCHE,42.82,42.27,41.82,40.55,32.00,38.55,42.45,41.91,6.66,4.24,11.83,3.33,7.36,7.61,4.41,3.02,11,20132
065615,INSTITUTO TECNICO AGROPECUARIO EL GUACAMAYO,68245,EL GUACAMAYO,SANTANDER,A,OFICIAL,COMPLETA U ORDINARIA,49.20,48.80,50.67,47.73,44.00,46.20,47.93,46.73,10.62,5.40,11.24,9.05,7.27,4.93,7.44,7.81,15,20132
065623,COLEGIO BILINGUE REINO UNIDO,11001,BOGOTÁ D.C.,BOGOTÁ,A,NO OFICIAL,MAÑANA,47.10,45.71,45.90,46.24,40.02,52.14,50.17,47.14,9.78,7.92,9.20,7.17,10.55,10.49,8.55,7.98,59,20132
065631,INSTITUTO TECNICO AGRICOLA LUIS NELSON CUELLAR,19355,INZA,CAUCA,A,OFICIAL,COMPLETA U ORDINARIA,40.86,44.33,45.31,42.79,39.90,41.62,46.60,45.07,7.29,5.37,9.26,7.01,6.72,4.19,6.66,9.32,42,20132
065649,INSTITUCION EDUCATIVA ALEJANDRO GOMEZ MUÑOZ,19100,BOLIVAR,CAUCA,A,OFICIAL,MAÑANA,41.75,43.00,38.13,43.75,41.31,41.19,43.06,45.81,10.30,6.21,9.35,4.31,6.39,6.28,7.03,7.13,16,20132
065680,LICEO DE JESUS,05209,CONCORDIA,ANTIOQUIA,A,OFICIAL,NOCHE,43.93,38.44,38.09,38.56,35.53,38.07,43.53,39.96,8.07,5.07,9.92,8.03,7.00,5.46,5.55,5.14,45,20132
065698,COLEGIO LUIS CARLOS GALAN SARMIENTO,85001,YOPAL,CASANARE,A,OFICIAL,MAÑANA,43.33,45.90,42.80,44.23,39.77,43.37,47.33,45.70,9.48,8.58,10.28,8.33,8.53,4.08,6.73,6.02,30,20132
065722,LICEO EL PEDREGAL,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,42.50,43.64,42.61,44.11,39.54,42.51,49.09,45.06,9.01,8.61,12.09,7.95,8.98,9.26,7.02,6.94,90,20132
065730,COLEGIO DEPARTAMENTAL BERNORAMA,68773,SUCRE,SANTANDER,A,OFICIAL,MAÑANA,40.61,42.00,40.61,44.61,39.83,45.94,45.22,45.56,8.56,5.05,6.32,7.43,5.50,6.04,6.86,8.03,18,20132
065748,INSTITUCION EDUCATIVA EL CARMEN,23300,COTORRA,CÓRDOBA,A,OFICIAL,MAÑANA,40.76,41.67,42.33,41.82,38.34,42.26,44.87,42.13,7.90,6.43,10.46,6.19,8.31,5.58,7.01,8.83,76,20132
065755,COLEGIO LA INMACULADA,52001,PASTO,NARIÑO,A,NO OFICIAL,MAÑANA,55.81,54.17,54.40,51.81,49.29,53.68,56.49,53.00,10.83,8.50,10.48,6.86,8.77,10.20,6.11,8.42,63,20132
065763,INSTITUCION EDUCATIVA AGROPECUARIA EL REMOLINO,52786,TAMINANGO,NARIÑO,A,OFICIAL,MAÑANA,46.69,48.54,44.69,46.77,38.77,41.00,49.54,45.69,6.59,5.46,7.28,6.15,5.63,3.70,6.44,4.52,13,20132
065789,COLEGIO MUSICAL BRITANICO,52001,PASTO,NARIÑO,A,NO OFICIAL,MAÑANA,47.75,59.00,47.25,56.50,52.50,51.75,45.75,48.00,6.95,12.19,14.06,11.62,7.77,8.30,10.28,4.90,4,20132
065797,COLEGIO MUNICIPAL SANTANDER,52838,TUQUERRES,NARIÑO,A,OFICIAL,MAÑANA,48.22,43.63,42.96,45.15,40.33,41.81,47.19,44.11,10.63,6.78,9.84,6.28,12.30,5.28,6.19,7.77,27,20132
065805,INSTITUCION EDUCATIVA COMERCIAL DEL NORTE,19001,POPAYAN,CAUCA,A,OFICIAL,TARDE,45.91,44.75,45.26,44.17,37.20,41.67,46.23,43.72,6.70,5.79,8.72,6.90,6.73,6.36,6.60,5.89,69,20132
065854,INSTITUTO COLOMBO JAPONES,19573,PUERTO TEJADA,CAUCA,A,NO OFICIAL,TARDE,39.24,38.71,36.65,37.59,32.59,35.24,42.53,35.41,11.82,5.74,8.98,7.57,7.46,5.77,6.74,4.26,17,20132
065862,FUNDACION GIMNASIO MODERNO DEL CAUCA,19001,POPAYAN,CAUCA,A,NO OFICIAL,MAÑANA,48.22,47.13,44.70,46.04,39.91,45.39,52.17,47.35,6.20,8.05,10.20,6.65,11.72,11.81,5.54,6.95,23,20132
065870,INSTITUCION EDUCATIVA EMPRESARIAL CERRO ALTO,19137,CALDONO,CAUCA,A,OFICIAL,MAÑANA,41.23,40.20,38.77,41.70,34.43,39.63,42.43,42.50,9.72,7.08,9.05,6.14,9.63,6.48,6.07,6.28,30,20132
065888,INSTITUTO DEPARTAMENTAL SIMON ALVAREZ,52678,SAMANIEGO,NARIÑO,A,OFICIAL,MAÑANA,42.24,46.62,43.57,43.05,36.43,43.10,45.48,43.67,7.35,6.04,7.65,4.98,8.72,5.20,5.32,6.97,21,20132
065896,INSTITUCION EDUCATIVA VILLAMORENO,52110,BUESACO,NARIÑO,A,OFICIAL,MAÑANA,38.92,45.15,41.31,39.92,36.08,44.54,41.92,41.62,8.71,4.91,7.59,7.12,10.40,4.10,5.79,5.44,13,20132
065912,INSTITUCION EDUCATIVA LIBARDO RAMIRO MUÑOZ,52317,GUACHUCAL,NARIÑO,A,OFICIAL,MAÑANA,42.88,47.94,49.50,42.38,38.88,40.88,45.63,42.56,7.08,3.70,6.35,7.03,7.73,4.66,5.11,4.37,16,20132
065920,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL ROSARIO VILLANUEVA,52203,COLON (GENOVA),NARIÑO,A,OFICIAL,MAÑANA,54.46,53.62,53.15,48.15,57.31,40.00,48.54,47.15,16.88,11.24,17.25,10.24,7.27,5.13,7.38,7.95,13,20132
065938,INSTITUCION EDUCATIVA COLEGIO JOSE ANTONIO LLORENTE,52227,CUMBAL,NARIÑO,A,OFICIAL,NOCHE,41.83,43.92,43.83,43.08,38.17,39.83,45.42,42.17,7.41,7.03,10.01,6.63,10.76,2.92,7.56,7.61,12,20132
065946,INSTITUTO LA CAMPIÑA,76001,CALI,VALLE,F,NO OFICIAL,TARDE,43.29,41.81,41.74,44.97,40.90,49.58,47.23,43.58,7.78,6.77,9.61,4.94,11.01,15.32,8.01,6.18,31,20132
065946,INSTITUTO LA CAMPIÑA,76001,CALI,VALLE,F,NO OFICIAL,TARDE,44.38,45.79,41.83,44.72,40.13,50.45,45.23,43.68,9.74,8.25,8.38,6.46,8.17,15.08,10.08,6.18,47,20131
065961,COLEGIO DEPARTAMENTAL LIBARDO MADRID VALDERRAMA,76001,CALI,VALLE,A,OFICIAL,TARDE,41.08,42.15,40.36,42.11,36.88,40.48,43.07,40.86,9.11,8.15,10.60,6.88,8.16,4.95,6.48,6.78,73,20132
066001,ACADEMIA MILITAR CORONEL MIGUEL CABAL BARONA,76111,BUGA,VALLE,B,NO OFICIAL,MAÑANA,47.43,44.61,42.87,45.78,38.57,47.26,48.30,44.00,10.71,7.95,5.92,4.53,6.87,13.18,11.56,5.92,23,20131
066035,COLEGIO PARROQUIAL SEÑOR DE LOS MILAGROS,76001,CALI,VALLE,A,NO OFICIAL,MAÑANA,40.21,39.57,35.87,40.18,32.85,38.45,42.07,39.28,7.44,5.81,10.12,5.55,7.99,5.22,5.82,6.41,67,20132
066068,INSTITUCION EDUCATIVA JOVITA SANTA COLOMA,76834,TULUA,VALLE,A,OFICIAL,MAÑANA,42.30,43.50,42.93,42.72,35.00,39.83,44.80,40.48,6.73,7.38,10.23,6.84,10.87,7.93,5.53,5.81,46,20132
066084,COLEGIO CIUDAD CORDOBA,76001,CALI,VALLE,A,NO OFICIAL,MAÑANA,47.26,48.14,47.40,48.71,42.93,48.65,50.64,47.63,9.36,8.46,9.46,7.05,8.08,12.00,7.37,7.70,86,20132
066126,INSTITUTO COLOMBIA,76001,CALI,VALLE,F,NO OFICIAL,NOCHE,41.91,39.41,37.72,42.59,35.08,40.29,44.39,40.83,9.39,8.06,11.06,8.75,10.21,11.57,7.99,8.59,76,20132
066126,INSTITUTO COLOMBIA,76001,CALI,VALLE,F,NO OFICIAL,NOCHE,39.47,41.01,39.19,43.21,37.23,42.19,44.87,42.20,10.77,6.09,6.94,5.65,9.52,13.50,7.53,10.00,70,20131
066134,ACADEMIA DE CIENCIAS DE COLOMBIA AKADEMOS SEMESTRALIZADO,76001,CALI,VALLE,F,NO OFICIAL,NOCHE,43.56,41.94,45.72,47.33,39.17,47.11,49.50,45.06,6.21,6.18,7.74,4.58,6.90,12.01,5.29,6.64,18,20132
066134,ACADEMIA DE CIENCIAS DE COLOMBIA AKADEMOS SEMESTRALIZADO,76001,CALI,VALLE,F,NO OFICIAL,NOCHE,44.54,42.88,40.46,44.58,41.23,46.69,46.73,43.77,6.69,8.03,8.75,5.56,8.56,11.54,8.76,7.13,26,20131
066159,COLEGIO PEDRO VICENTE ABADIA,76318,GUACARI,VALLE,A,OFICIAL,MAÑANA,41.46,42.30,40.86,44.03,38.51,40.19,46.11,43.34,9.72,8.15,10.70,8.05,8.84,6.35,6.66,7.53,80,20132
066167,INSTITUCION EDUCATIVA JOSE MARIA CORDOBA,76364,JAMUNDI,VALLE,A,OFICIAL,MAÑANA,37.88,41.00,41.28,39.80,36.60,39.68,40.92,37.60,7.07,5.17,7.88,5.63,5.43,2.98,5.54,6.29,25,20132
066183,INSTITUTO TECNICO EN SISTEMAS CARO Y CUERVO,76001,CALI,VALLE,A,NO OFICIAL,MAÑANA,42.07,41.07,41.93,42.64,36.00,41.43,43.71,43.36,6.59,6.02,8.58,8.19,7.42,3.92,4.18,5.68,14,20132
066191,COLEGIO PATRICIO SYMES,76109,BUENAVENTURA,VALLE,A,NO OFICIAL,MAÑANA,40.03,42.87,41.81,44.13,37.42,41.06,46.39,40.61,7.31,5.94,10.25,5.47,6.70,5.00,5.03,6.68,31,20132
066209,COLEGIO POLITECNICO LOS LIBERTADORES LTDA,76233,DAGUA,VALLE,A,NO OFICIAL,TARDE,41.00,42.56,43.75,42.69,40.06,41.56,46.38,42.25,5.94,6.51,9.50,5.41,7.69,11.61,7.98,7.05,16,20132
066217,CENTRO DOCENTE PARROQUIAL SAN MARCOS,76001,CALI,VALLE,A,NO OFICIAL,MAÑANA,41.56,42.73,42.27,43.78,35.15,41.20,46.12,42.22,7.86,7.98,10.71,5.79,8.34,5.09,5.59,6.92,41,20132
066225,COLEGIO SANTA CRUZ DE CALI,76001,CALI,VALLE,A,NO OFICIAL,TARDE,36.72,40.22,39.78,43.44,34.17,42.39,44.83,43.83,6.70,4.14,8.49,7.09,7.94,4.30,5.53,4.97,18,20132
066241,COLEGIO DEPARTAMENTAL ALBERTO CARVAJAL BORRERO,76001,CALI,VALLE,A,OFICIAL,TARDE,42.66,43.28,41.79,43.48,36.97,40.90,45.72,41.45,7.17,6.46,9.94,7.52,8.37,5.33,6.14,5.27,29,20132
066258,INSTITUTO TECNICO INDUSTRIAL PEDRO ANTONIO MOLINA,76001,CALI,VALLE,A,OFICIAL,MAÑANA,47.93,47.07,46.85,46.77,42.27,45.12,49.43,46.48,9.38,8.81,9.87,7.38,7.86,8.76,6.71,6.88,124,20132
066266,COLEGIO MONSEÑOR RAMON ARCILA,76001,CALI,VALLE,A,OFICIAL,NOCHE,40.18,40.05,38.09,40.02,34.53,39.78,43.24,39.51,7.13,5.83,9.46,6.10,8.85,5.64,5.70,5.23,55,20132
066274,INSTITUCION EDUCATIVA GENERAL FRANCISCO DE PAULA SANTANDER,76001,CALI,VALLE,A,OFICIAL,TARDE,41.36,41.49,41.82,42.82,37.42,41.47,46.78,40.58,8.92,6.65,10.54,6.30,7.26,4.85,5.90,7.75,45,20132
